step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN,s4_m,Fx4_uN,Fy4_uN,F4_uN,s5_m,Fx5_uN,Fy5_uN,F5_uN,s6_m,Fx6_uN,Fy6_uN,F6_uN,s7_m,Fx7_uN,Fy7_uN,F7_uN
48,0,0,5.5995283,5.5995283,0.0075,-5.8091961,21.987613,22.742073,0.015,-6.1315324,13.335152,14.677261,0.02,-9.8555415,24.539107,26.444271,0.03,-19.111554,4.3994689,19.611396,0.04,-20.755007,21.001902,29.527109,0.05,-4.7554521,5.7268604,7.4438736
49,0,0,5.608783,5.608783,0.0075,-6.1565343,23.169335,23.973339,0.015,-7.0303979,15.204467,16.751188,0.02,-10.440265,25.847068,27.875976,0.03,-19.44723,4.4565289,19.951326,0.04,-18.672363,18.785677,26.486955,0.05,-4.6364681,5.3872728,7.1077103
50,0,0,5.6178482,5.6178482,0.0075,-6.4825085,24.255313,25.106635,0.015,-6.6428532,14.285081,15.75408,0.02,-10.988161,27.046923,29.193762,0.03,-19.004416,4.3354924,19.492674,0.04,-19.749357,19.753457,27.932708,0.05,-5.9031178,6.6229505,8.871881
51,0,0,5.6267208,5.6267208,0.0075,-6.1685664,22.946013,23.760697,0.015,-6.7558202,14.445042,15.946798,0.02,-10.451263,25.575713,27.628717,0.03,-19.96452,4.5342004,20.472934,0.04,-19.002177,18.894189,26.796886,0.05,-4.1233424,4.4702265,6.0815194
52,0,0,5.6353983,5.6353983,0.0075,-5.8286441,21.553794,22.32799,0.015,-6.7625534,14.376113,15.887251,0.02,-9.870763,24.013203,25.962779,0.03,-19.355925,4.3765265,19.844541,0.04,-19.402188,19.177144,27.280171,0.05,-4.8781347,5.1139501,7.0674383
53,0,0,5.6438778,5.6438778,0.0075,-6.4242488,23.614954,24.47319,0.015,-6.9641227,14.718584,16.282988,0.02,-10.874272,26.297572,28.457197,0.03,-19.161259,4.3135226,19.640782,0.04,-19.96061,19.610576,27.982149,0.05,-6.3668802,6.4588599,9.0694011
54,0,0,5.6521568,5.6521568,0.0075,-6.5419667,23.904961,24.783957,0.015,-6.8953273,14.487839,16.04503,0.02,-11.06841,26.608258,28.818554,0.03,-21.105758,4.7306713,21.629431,0.04,-21.006946,20.514348,29.362055,0.05,-6.1309626,6.0225465,8.5941706
55,0,0,5.6602326,5.6602326,0.0075,-6.3786424,23.176791,24.038526,0.015,-6.6144951,13.815805,15.317572,0.02,-10.788055,25.786034,27.951774,0.03,-20.440112,4.5618705,20.94299,0.04,-21.775116,21.14006,30.348934,0.05,-5.8576331,5.5755048,8.0869104
56,0,0,5.6681027,5.6681027,0.0075,-6.4129445,23.177897,24.048717,0.015,-7.1955129,14.940158,16.582633,0.02,-10.8431,25.775792,27.963624,0.03,-20.919143,4.6490924,21.429526,0.04,-19.310463,18.641143,26.840011,0.05,-5.9632978,5.5035147,8.1147763
57,0,0,5.6757648,5.6757648,0.0075,-6.0336811,21.699,22.522253,0.015,-7.143244,14.743052,16.382415,0.02,-10.200072,24.12063,26.188667,0.03,-18.911709,4.1855163,19.369338,0.04,-20.489801,19.671501,28.404223,0.05,-5.6683572,5.0754757,7.6085956
58,0,0,5.6832164,5.6832164,0.0075,-6.6156458,23.682275,24.588959,0.015,-7.0158055,14.393087,16.011948,0.02,-11.183109,26.314062,28.591813,0.03,-19.286274,4.2510137,19.749215,0.04,-21.142183,20.19102,29.234726,0.05,-6.1683501,5.3619456,8.1730657
59,0,0,5.6904551,5.6904551,0.0075,-6.5613907,23.38827,24.291212,0.015,-6.651269,13.562909,15.106021,0.02,-11.091776,25.976647,28.245596,0.03,-19.09837,4.1927676,19.553185,0.04,-20.885672,19.845302,28.810541,0.05,-6.7511501,5.7006836,8.8360524
60,0,0,5.6974788,5.6974788,0.0075,-6.7840141,24.088063,25.025139,0.015,-6.8334123,13.849903,15.443941,0.02,-11.469732,26.743168,29.098999,0.03,-19.160698,4.1899898,19.613474,0.04,-19.961741,18.875757,27.472992,0.05,-7.7617933,6.3703492,10.041254
61,0,0,5.7042852,5.7042852,0.0075,-6.6104198,23.389679,24.305858,0.015,-6.990826,14.082788,15.722486,0.02,-11.179038,25.957756,28.262626,0.03,-20.992587,4.5730288,21.484908,0.04,-20.280169,19.08861,27.850678,0.05,-5.8467073,4.6667586,7.4808169
62,0,0,5.7108722,5.7108722,0.0075,-6.104448,21.532508,22.381089,0.015,-6.7572369,13.529197,15.122811,0.02,-10.327125,23.887785,26.024523,0.03,-18.488266,4.0124717,18.918666,0.04,-21.013374,19.69245,28.798515,0.05,-6.1663591,4.7894019,7.8078393
63,0,0,5.7172378,5.7172378,0.0075,-6.4896885,22.829909,23.73438,0.015,-7.2274632,14.382177,16.096063,0.02,-10.984103,25.318087,27.598117,0.03,-20.125727,4.3519993,20.59089,0.04,-19.689197,18.375643,26.931928,0.05,-6.6601155,5.0364382,8.3500208
64,0,0,5.72338,5.72338,0.0075,-6.3889234,22.424669,23.317035,0.015,-7.0670251,13.976736,15.6618,0.02,-10.820009,24.86027,27.112831,0.03,-19.410049,4.182453,19.855551,0.04,-20.311873,18.883815,27.733926,0.05,-7.8029233,5.7481022,9.6915577
