step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN
64,0.0125,-2.4780129,8.5219461,8.8749148,0.0375,-1.2864234,8.4057213,8.5035896,0.0475,-4.3894686,7.3491015,8.5601827
65,0.0125,-2.3907816,8.2113163,8.5522835,0.0375,-1.439488,9.4227996,9.5321182,0.0475,-4.5684319,7.6682728,8.9259721
66,0.0125,-1.948398,6.6863565,6.9644539,0.0375,-1.5416318,10.090366,10.207454,0.0475,-3.183163,5.353377,6.228256
67,0.0125,-2.361979,8.1019983,8.4392725,0.0375,-1.3357133,8.7280353,8.8296506,0.0475,-4.4264458,7.4546603,8.6697972
68,0.0125,-2.6736216,9.1696374,9.551466,0.0375,-1.4955635,9.7444048,9.8585058,0.0475,-3.1316432,5.278966,6.1379697
69,0.0125,-1.4440337,4.9529841,5.1591942,0.0375,-1.3537172,8.7869525,8.8906178,0.0475,-3.1509849,5.3144859,6.178387
70,0.0125,-1.9748049,6.775241,7.0571768,0.0375,-1.3371177,8.641458,8.7442942,0.0475,-2.7033578,4.5606247,5.3016451
71,0.0125,-1.2375642,4.247449,4.4240692,0.0375,-1.2084918,7.773917,7.8672891,0.0475,-3.6707889,6.1927706,7.1989651
72,0.0125,-1.8294516,6.2815735,6.5425575,0.0375,-1.1442817,7.3264408,7.4152624,0.0475,-3.0487813,5.1426237,5.9784317
73,0.0125,-1.3696536,4.7049369,4.9002431,0.0375,-1.0811376,6.891147,6.9754402,0.0475,-2.9095765,4.9065465,5.7043697
74,0.0125,-1.2909576,4.436526,4.620534,0.0375,-1.1798877,7.489923,7.5822873,0.0475,-3.3928453,5.7197432,6.650328
75,0.0125,-1.9422499,6.6773367,6.9540751,0.0375,-0.87161251,5.5136431,5.5821114,0.0475,-2.9506994,4.9728253,5.7823541
76,0.0125,-1.434625,4.9336919,5.138041,0.0375,-0.86001417,5.4252018,5.4929444,0.0475,-3.3937235,5.7179103,6.6491997
77,0.0125,-1.4697596,5.055632,5.2649415,0.0375,-1.061293,6.6820354,6.7657919,0.0475,-3.3997505,5.7269217,6.6600252
78,0.0125,-2.3723601,8.1612978,8.4991102,0.0375,-0.69757833,4.3876946,4.4428009,0.0475,-3.6504648,6.1486004,7.150607
